method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-20,50,1.0,8,0.05108717323549513,2.627058744430542
vae-20,50,1.0,9,0.011059410136813677,3.042205333709717
vae-30,50,0.0,0,0.0019722683376892486,12.497857093811035
vae-30,50,0.0,1,0.057701759770238475,19.512733459472656
vae-30,50,0.0,2,0.007901258635036417,10.561985969543457
vae-30,50,0.0,3,0.004017273354726376,10.256303787231445
vae-30,50,0.0,4,0.0032700838822697074,10.01266860961914
vae-30,50,0.0,5,0.006118303581388995,10.873137474060059
vae-30,50,0.0,6,0.011258835458922636,13.458720207214355
vae-30,50,0.0,7,0.004159199590155291,8.261519432067871
vae-30,50,0.0,8,0.036348252071204415,11.941529273986816
vae-30,50,0.0,9,0.0046950599279856915,13.531115531921387
vae-30,50,0.01,0,0.001942114256923354,5.317720413208008
vae-30,50,0.01,1,0.055281436440073634,11.064737319946289
vae-30,50,0.01,2,0.008776376674391479,6.76711893081665
vae-30,50,0.01,3,0.003919878474709122,5.46430778503418
